Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810831,30.52,25.47,0.14,Chattogram
19810901,30.33,26.19,1.88,Chattogram
19810902,29.78,26.0,10.19,Chattogram
19810903,29.15,25.46,32.53,Chattogram
19810904,29.73,26.03,3.57,Chattogram
19810905,30.23,25.3,7.07,Chattogram
19810906,29.57,25.78,10.72,Chattogram
19810907,28.64,26.06,5.39,Chattogram
19810908,30.12,25.13,3.95,Chattogram
19810909,29.72,25.83,10.43,Chattogram
19810910,27.91,25.31,19.49,Chattogram
19810911,29.76,25.37,6.11,Chattogram
19810912,30.05,25.8,5.49,Chattogram
19810913,29.43,25.56,9.48,Chattogram
19810914,30.63,25.72,6.75,Chattogram
19810915,29.85,25.9,0.09,Chattogram
19810916,30.9,25.53,0.07,Chattogram
19810917,32.83,24.64,0.09,Chattogram
19810918,32.5,25.43,0.38,Chattogram
19810919,31.47,26.25,1.65,Chattogram
19810920,32.58,26.33,0.84,Chattogram
19810921,32.33,25.7,4.68,Chattogram
19810922,31.69,26.83,0.15,Chattogram
19810923,31.61,26.93,0.28,Chattogram
19810924,31.93,26.87,0.09,Chattogram
19810925,29.31,25.94,3.42,Chattogram
19810926,29.39,25.16,0.61,Chattogram
19810927,30.71,24.4,3.03,Chattogram
19810928,30.14,25.58,2.89,Chattogram
19810929,30.48,25.77,11.46,Chattogram
19810930,29.44,26.2,15.72,Chattogram
19811001,28.87,25.95,19.31,Chattogram
19811002,29.77,25.74,18.39,Chattogram
19811003,31.03,24.67,11.12,Chattogram
19811004,30.74,23.05,0.0,Chattogram
19811005,31.12,24.63,0.04,Chattogram
19811006,30.4,23.68,0.0,Chattogram
19811007,30.26,24.24,0.0,Chattogram
19811008,30.74,25.17,0.0,Chattogram
19811009,30.81,24.43,0.0,Chattogram
19811010,30.64,24.8,0.0,Chattogram
19811011,30.54,25.06,0.0,Chattogram
19811012,31.32,25.49,0.0,Chattogram
19811013,31.26,24.53,0.48,Chattogram
19811014,29.82,25.45,2.59,Chattogram
19811015,29.44,24.6,0.24,Chattogram
19811016,30.44,24.28,0.05,Chattogram
19811017,31.29,23.44,0.02,Chattogram
